Hero,Played,Win,Lost,Winrate
Tiny,20,12,8,60.0
Razor,12,8,4,66.67
Queen of Pain,13,9,4,69.23
Mars,14,8,6,57.14
Puck,9,7,2,77.78
Batrider,8,4,4,50.0
Chen,14,10,4,71.43
Monkey King,12,5,7,41.67
Enigma,12,6,6,50.0
Enchantress,12,4,8,33.33
Templar Assassin,7,3,4,42.86
Faceless Void,8,3,5,37.5
Pudge,9,4,5,44.44
Winter Wyvern,7,5,2,71.43
Dark Willow,9,8,1,88.89
Dawnbreaker,8,5,3,62.5
Snapfire,4,1,3,25.0
Tusk,3,0,3,0.0
Hoodwink,10,4,6,40.0
Dazzle,3,2,1,66.67
Rubick,3,1,2,33.33
Sven,6,4,2,66.67
Nyx Assassin,7,4,3,57.14
Keeper of the Light,7,4,3,57.14
Timbersaw,4,1,3,25.0
Ogre Magi,2,0,2,0.0
Ember Spirit,7,5,2,71.43
Kunkka,6,5,1,83.33
Phantom Assassin,5,4,1,80.0
Bloodseeker,6,5,1,83.33
Invoker,9,5,4,55.56
Pangolier,6,2,4,33.33
Visage,7,4,3,57.14
Alchemist,6,6,0,100.0
Bristleback,5,3,2,60.0
Phoenix,8,1,7,12.5
Undying,5,4,1,80.0
Earthshaker,8,5,3,62.5
Clockwerk,3,2,1,66.67
Centaur Warrunner,3,1,2,33.33
Viper,6,6,0,100.0
Death Prophet,5,2,3,40.0
Beastmaster,4,3,1,75.0
Elder Titan,4,2,2,50.0
Techies,3,2,1,66.67
Void Spirit,5,2,3,40.0
Io,2,0,2,0.0
Weaver,1,0,1,0.0
Mirana,2,2,0,100.0
Grimstroke,5,3,2,60.0
Lycan,2,1,1,50.0
Doom,4,2,2,50.0
Earth Spirit,4,2,2,50.0
Storm Spirit,3,1,2,33.33
Ursa,3,0,3,0.0
Marci,2,2,0,100.0
Bane,4,3,1,75.0
Terrorblade,2,2,0,100.0
Tidehunter,0,0,0,0.0
Chaos Knight,1,1,0,100.0
Skywrath Mage,2,1,1,50.0
Zeus,4,0,4,0.0
Slark,2,2,0,100.0
Ancient Apparition,2,2,0,100.0
Shadow Demon,2,1,1,50.0
Shadow Fiend,3,2,1,66.67
Abaddon,2,1,1,50.0
Brewmaster,1,1,0,100.0
Omniknight,4,2,2,50.0
Troll Warlord,2,1,1,50.0
Lina,1,0,1,0.0
Lone Druid,3,0,3,0.0
Morphling,3,1,2,33.33
Primal Beast,2,1,1,50.0
Warlock,1,1,0,100.0
Huskar,1,1,0,100.0
Night Stalker,3,3,0,100.0
Axe,2,1,1,50.0
Crystal Maiden,0,0,0,0.0
Nature's Prophet,1,0,1,0.0
Oracle,2,0,2,0.0
Shadow Shaman,0,0,0,0.0
Sniper,1,0,1,0.0
Medusa,1,0,1,0.0
Dragon Knight,1,1,0,100.0
Lion,1,0,1,0.0
Luna,0,0,0,0.0
Sand King,1,0,1,0.0
Treant Protector,1,0,1,0.0
Venomancer,0,0,0,0.0
Juggernaut,1,0,1,0.0
Legion Commander,1,0,1,0.0
Lifestealer,1,0,1,0.0
Windranger,0,0,0,0.0
Wraith King,1,0,1,0.0
Arc Warden,0,0,0,0.0
Dark Seer,1,1,0,100.0
Magnus,1,1,0,100.0
Outworld Destroyer,1,1,0,100.0
Underlord,0,0,0,0.0
Witch Doctor,0,0,0,0.0
Broodmother,1,0,1,0.0
Disruptor,1,0,1,0.0
Jakiro,1,0,1,0.0
Leshrac,1,0,1,0.0
Necrophos,1,0,1,0.0
Phantom Lancer,0,0,0,0.0
Slardar,0,0,0,0.0
Spectre,1,0,1,0.0
Spirit Breaker,0,0,0,0.0
Anti-Mage,0,0,0,0.0
Meepo,0,0,0,0.0
Naga Siren,0,0,0,0.0
Riki,0,0,0,0.0
